
============  18-05-23 11:04:59  ==============
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RIL: [0] getTestModeInner subscription = 0
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RIL: [0] getTestModeInner: 8
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RIL: [0] allow_data init 1!
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RILC: [1] sprd_libril Compile date:Sep 27 2017,14:18:47 
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RILC: [1] it's l modem rild1 libril
05-23 11:04:57.143   182   182 E use-Rlog/RLOG-RILC: [1] RIL_register: RIL version 11
05-23 11:04:57.143   182   182 I use-Rlog/RLOG-RILC: [1] Ril.cpp: 3 CommandThread create
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RILC: [1] create call dispatch thread
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RILC: [1] Start to listen oem_socket2
05-23 11:04:57.143   182   182 D RILD    : RIL_register_ATCIServer started
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RILC: [0] sprd_libril Compile date:Sep 27 2017,14:18:47 
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RILC: [0] it's l modem rild0 libril
05-23 11:04:57.143   181   181 E use-Rlog/RLOG-RILC: [0] RIL_register: RIL version 11
05-23 11:04:57.143   181   181 I use-Rlog/RLOG-RILC: [0] Ril.cpp: 3 CommandThread create
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RILC: [0] create call dispatch thread
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RILC: [0] Start to listen oem_socket1
05-23 11:04:57.143   181   181 D RILD    : RIL_register_ATCIServer started
05-23 11:04:57.193   181   231 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
05-23 11:04:57.193   181   231 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
05-23 11:04:57.193   182   182 D use-Rlog/RLOG-RILC: [1] atci_socket2 created
05-23 11:04:57.193   181   181 D use-Rlog/RLOG-RILC: [0] atci_socket1 created
05-23 11:04:57.193   181   181 D RIL_ATCI_SOCKET: Adding socket with id: 0
05-23 11:04:57.193   181   181 D RILD    : RIL_register_socket completed
05-23 11:04:57.193   181   181 D RILD    : RIL_Init starting sleep loop
05-23 11:04:57.193   182   232 D use-Rlog/RLOG-RIL: [1] channel4 state: '0' 
05-23 11:04:57.193   182   232 D use-Rlog/RLOG-RIL: [1] get Channel ID '4'
05-23 11:04:57.193   182   182 D RIL_ATCI_SOCKET: Adding socket with id: 1
05-23 11:04:57.193   182   182 D RILD    : RIL_register_socket completed
05-23 11:04:57.193   182   182 D RILD    : RIL_Init starting sleep loop
05-23 11:04:57.303   181   231 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:04:57.303   182   232 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:04:57.303   182   232 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:04:57.303   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> ATE0Q0V1
05-23 11:04:57.313   181   231 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:04:57.313   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATE0Q0V1
05-23 11:04:57.333   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.333   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATS0=0
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> ATS0=0
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMEE=1
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMEE=1
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CREG=2
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CREG=2
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEREG=2
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CEREG=2
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CCED=1,8
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCED=1,8
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CCWA=1
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCWA=1
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMOD=0
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMOD=0
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMUT=0
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMUT=0
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CSSN=1,1
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSSN=1,1
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+COLP=0
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+COLP=0
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CSCS="HEX"
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSCS="HEX"
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CUSD=1
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CUSD=1
05-23 11:04:57.353   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.353   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.353   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CGEREP=1,0
05-23 11:04:57.353   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGEREP=1,0
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMGF=0
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMGF=0
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+VTD=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+VTD=1
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CRC=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CRC=1
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CGPIAF=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGPIAF=1
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT^DSCI=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT^DSCI=1
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTTYPE=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTTYPE=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPVIDEOTYPE=3
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPVIDEOTYPE=3
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTDCI="000001B000000001B5090000010000000120008440FA282C2090A21F"
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTDCI="000001B000000001B5090000010000000120008440FA282C2090A21F"
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTTEST=2,650
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTTEST=2,650
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CEN=1
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEN=1
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.363   182   232 E use-Rlog/RLOG-RIL: [1] isVoLteEnable =false
05-23 11:04:57.363   182   232 E use-Rlog/RLOG-RIL: [1] isVoLteEnable =false
05-23 11:04:57.363   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPAURC="100110111110000000001000010000111111110001000100"
05-23 11:04:57.363   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.363   181   231 E use-Rlog/RLOG-RIL: [0] isVoLteEnable =false
05-23 11:04:57.363   181   231 E use-Rlog/RLOG-RIL: [0] isVoLteEnable =false
05-23 11:04:57.363   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPAURC="100110111110000000001000010000111111110001000100"
05-23 11:04:57.363   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.373   182   232 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:04:57.373   182   232 D use-Rlog/RLOG-RIL: [1] isn't svlte
05-23 11:04:57.373   182   232 D use-Rlog/RLOG-RIL: [1] is CSFB 
05-23 11:04:57.373   182   232 D use-Rlog/RLOG-RIL: [1] ro.operator is: 
05-23 11:04:57.373   182   232 D use-Rlog/RLOG-AT: [1] Channel4: AT> at+spcapability=32,1,0
05-23 11:04:57.373   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.373   181   231 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:04:57.373   181   231 D use-Rlog/RLOG-RIL: [0] isn't svlte
05-23 11:04:57.373   181   231 D use-Rlog/RLOG-RIL: [0] is CSFB 
05-23 11:04:57.373   181   231 D use-Rlog/RLOG-RIL: [0] ro.operator is: 
05-23 11:04:57.373   181   231 D use-Rlog/RLOG-AT: [0] Channel1: AT> at+spcapability=32,1,0
05-23 11:04:57.373   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< +SPCAPABILITY: 32,1,0
05-23 11:04:57.373   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< +SPCAPABILITY: 32,1,0
05-23 11:04:57.413   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:04:57.413   181   231 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:04:57.413   181   231 D use-Rlog/RLOG-RIL: [0] put Channel ID '1'
05-23 11:04:57.413   182   245 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:04:57.413   182   232 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:04:57.413   182   232 D use-Rlog/RLOG-RIL: [1] put Channel ID '4'
05-23 11:05:20.556   592   592 D TelephonyManager: /proc/cmdline=loglevel=1 console=ttyS1,115200n8 init=/init root=/dev/ram0 rw androidboot.hardware=sp9820a_c110 lcd_id=ID7789 lcd_adc=1254 lcd_base=8ffca000   mem_cs=1, mem_cs0_sz=10000000  sysdump_magic=85500000 mtdparts=sprd-nand:256k(splloader),1280k(uboot),-(ubipac) modem=poweron ltemode=lcsfb 32k.less=0 crystal=0   androidboot.serialno=02463484782052123279
05-23 11:05:26.552   673   673 D TelephonyManager: No /proc/cmdline exception=java.io.FileNotFoundException: /proc/cmdline: open failed: EACCES (Permission denied)
05-23 11:05:26.552   673   673 D TelephonyManager: /proc/cmdline=
05-23 11:05:28.354   698   698 D TelephonyManager: /proc/cmdline=loglevel=1 console=ttyS1,115200n8 init=/init root=/dev/ram0 rw androidboot.hardware=sp9820a_c110 lcd_id=ID7789 lcd_adc=1254 lcd_base=8ffca000   mem_cs=1, mem_cs0_sz=10000000  sysdump_magic=85500000 mtdparts=sprd-nand:256k(splloader),1280k(uboot),-(ubipac) modem=poweron ltemode=lcsfb 32k.less=0 crystal=0   androidboot.serialno=02463484782052123279
05-23 11:05:28.674   698   698 D TelephonyManager: getLteOnCdmaMode=0 curVal=-1 product_type='' lteOnCdmaProductType=''
05-23 11:05:28.694   698   698 I PhoneFactory: Cdma Subscription set to 1
05-23 11:05:28.824   698   698 I PhoneFactory: CpProduct is CpSupportUtils={cpName = l, cpPhone = 2, cpEnable = true, cpExternalDevice = false}
05-23 11:05:28.824   698   698 I PhoneFactory: socket name is rild
05-23 11:05:28.824   698   698 D RILJ    : [0]RIL(context, preferredNetworkType=0 cdmaSubscription=1)
05-23 11:05:28.824   698   698 D RILJ    : [0]Starting RILReceiver
05-23 11:05:28.844   698   747 I RILJ    : Connected to 'rild' socket
05-23 11:05:28.844   181   231 I use-Rlog/RLOG-RILC: [0] libril: new connection
05-23 11:05:28.844   181   231 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RIL_CONNECTED {11}
05-23 11:05:28.844   181   231 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:05:28.844   181   231 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:05:28.844   181   231 I use-Rlog/RLOG-RILC: [0] RIL Daemon version: android reference-ril 1.0
05-23 11:05:28.844   698   698 I PhoneFactory: socket name is rild2
05-23 11:05:28.844   698   698 D RILJ    : [0]RIL(context, preferredNetworkType=0 cdmaSubscription=1)
05-23 11:05:28.844   698   747 D RILJ    : [0][UNSL]< [0]UNSOL_RIL_CONNECTED {11}
05-23 11:05:28.854   698   698 D RILJ    : [1]Starting RILReceiver
05-23 11:05:28.864   698   698 D UiccController: [0]Creating UiccController
05-23 11:05:28.864   698   698 D UiccController: [1]Creating UiccController
05-23 11:05:28.864   698   698 I PhoneFactory: Creating GSMPhone
05-23 11:05:28.874   698   747 D RILJ    : [0][3648]> RADIO_POWER off
05-23 11:05:28.884   698   747 D RILJ    : [0]setCellInfoListRate: 2147483647
05-23 11:05:28.884   698   747 D RILJ    : [0][3649]> RIL_REQUEST_SET_CELL_INFO_LIST_RATE
05-23 11:05:28.884   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.884   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.884   181   231 D use-Rlog/RLOG-RILC: [0] Add 'RADIO_POWER' to call_cmd_list
05-23 11:05:28.884   181   247 I use-Rlog/RLOG-RILC: [0] -->Normal Dispatch call list
05-23 11:05:28.884   181   247 D use-Rlog/RLOG-RILC: [0] PCB request code 23 token 0
05-23 11:05:28.884   181   247 D use-Rlog/RLOG-RILC: [0] [0000]> RADIO_POWER (0,1,1)
05-23 11:05:28.884   181   247 D use-Rlog/RLOG-RIL: [0] onRequest: RADIO_POWER sState=0
05-23 11:05:28.884   181   247 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
05-23 11:05:28.884   181   247 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
05-23 11:05:28.894   181   247 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CPIN?
05-23 11:05:28.894   182   232 I use-Rlog/RLOG-RILC: [1] libril: new connection
05-23 11:05:28.894   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< +CPIN: READY
05-23 11:05:28.894   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:05:28.894   182   232 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RIL_CONNECTED {11}
05-23 11:05:28.894   182   232 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:05:28.894   182   232 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:05:28.894   182   232 I use-Rlog/RLOG-RILC: [1] RIL Daemon version: android reference-ril 1.0
05-23 11:05:28.894   181   247 D use-Rlog/RLOG-RIL: [0] setHasSim hasSim = 1
05-23 11:05:28.894   181   247 D use-Rlog/RLOG-RIL: [0] setHasSim hasSim = 1
05-23 11:05:28.894   181   247 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SFUN=5
05-23 11:05:28.894   698   750 I RILJ    : Connected to 'rild2' socket
05-23 11:05:28.894   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.894   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.894   181   231 I use-Rlog/RLOG-RILC: [0] PCC  alloc one command p_record
05-23 11:05:28.904   698   747 D RILJ    : [0][UNSL]< [0]UNSOL_RESPONSE_RADIO_STATE_CHANGED RADIO_OFF
05-23 11:05:28.904   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:05:28.904   181   247 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:05:28.904   181   247 D use-Rlog/RLOG-RIL: [0] isn't svlte
05-23 11:05:28.904   181   247 D use-Rlog/RLOG-RILC: [0] [0000]< RADIO_POWER
05-23 11:05:28.904   181   247 D use-Rlog/RLOG-RIL: [0] put Channel ID '1'
05-23 11:05:28.904   181   247 I use-Rlog/RLOG-RILC: [0] -->Normal Dispatch [247] free one command
05-23 11:05:28.904   698   750 D RILJ    : [1][UNSL]< [1]UNSOL_RIL_CONNECTED {11}
05-23 11:05:28.904   181   753 D use-Rlog/RLOG-RILC: [0] PCB request code 110 token 1
05-23 11:05:28.904   181   753 D use-Rlog/RLOG-RILC: [0] [0001]> SET_UNSOL_CELL_INFO_LIST_RATE (2147483647)
05-23 11:05:28.904   181   753 D use-Rlog/RLOG-RIL: [0] onRequest: SET_UNSOL_CELL_INFO_LIST_RATE sState=0
05-23 11:05:28.904   181   753 D use-Rlog/RLOG-RILC: [0] [0001]< SET_UNSOL_CELL_INFO_LIST_RATE fails by E_RADIO_NOT_AVAILABLE
05-23 11:05:28.904   181   753 I use-Rlog/RLOG-RILC: [0] -->CommandThread [753] free one command
05-23 11:05:28.904   698   747 D RILJ    : [0][3651]> SCREEN_STATE: true
05-23 11:05:28.904   698   750 D RILJ    : [1][3650]> RADIO_POWER off
05-23 11:05:28.914   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.914   181   231 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:05:28.914   181   231 I use-Rlog/RLOG-RILC: [0] PCC  alloc one command p_record
05-23 11:05:28.914   698   747 D RILJ    : [0][UNSL]< [0]UNSOL_RESPONSE_SIM_STATUS_CHANGED
05-23 11:05:28.914   698   747 D RILJ    : [0][3648]< RADIO_POWER 
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RILC: [0] PCB request code 61 token 3
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RILC: [0] [0003]> SCREEN_STATE (1)
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RIL: [0] onRequest: SCREEN_STATE sState=0
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
05-23 11:05:28.914   698   747 D RilRequest: [3649]< RIL_REQUEST_SET_CELL_INFO_LIST_RATE error: com.android.internal.telephony.CommandException: RADIO_NOT_AVAILABLE
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-RIL: [0]  PROP_RADIO_FD_DISABLE = 0
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCED=1,8
05-23 11:05:28.914   698   750 D RILJ    : [1]setCellInfoListRate: 2147483647
05-23 11:05:28.914   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:05:28.914   181   753 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEREG=2
05-23 11:05:28.924   182   232 I use-Rlog/RLOG-RILC: [1] enter processCommandsCallback, socket type = 0
05-23 11:05:28.924   181   242 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:05:28.924   181   753 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CREG=2
