
============  18-05-23 11:27:13  ==============
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMOD=0
05-23 11:27:11.423   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEREG=2
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMUT=0
05-23 11:27:11.423   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCED=1,8
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CSSN=1,1
05-23 11:27:11.423   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CCWA=1
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+COLP=0
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMOD=0
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CSCS="HEX"
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMUT=0
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CUSD=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSSN=1,1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CGEREP=1,0
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+COLP=0
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMGF=0
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CSCS="HEX"
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+VTD=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CUSD=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CRC=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGEREP=1,0
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CGPIAF=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMGF=0
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT^DSCI=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+VTD=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTTYPE=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CRC=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPVIDEOTYPE=3
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CGPIAF=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTDCI="000001B000000001B5090000010000000120008440FA282C2090A21F"
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT^DSCI=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPDVTTEST=2,650
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTTYPE=1
05-23 11:27:11.433   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.433   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CEN=1
05-23 11:27:11.433   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.433   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPVIDEOTYPE=3
05-23 11:27:11.443   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.443   183   227 E use-Rlog/RLOG-RIL: [1] isVoLteEnable =false
05-23 11:27:11.443   183   227 E use-Rlog/RLOG-RIL: [1] isVoLteEnable =false
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SPAURC="100110111110000000001000010000111111110001000100"
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTDCI="000001B000000001B5090000010000000120008440FA282C2090A21F"
05-23 11:27:11.443   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-RIL: [1] isn't svlte
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-RIL: [1] is CSFB 
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-RIL: [1] ro.operator is: 
05-23 11:27:11.443   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> at+spcapability=32,1,0
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPDVTTEST=2,650
05-23 11:27:11.443   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< +SPCAPABILITY: 32,1,0
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CEN=1
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.443   182   226 E use-Rlog/RLOG-RIL: [0] isVoLteEnable =false
05-23 11:27:11.443   182   226 E use-Rlog/RLOG-RIL: [0] isVoLteEnable =false
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SPAURC="100110111110000000001000010000111111110001000100"
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-RIL: [0] isn't svlte
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-RIL: [0] is CSFB 
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-RIL: [0] ro.operator is: 
05-23 11:27:11.443   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> at+spcapability=32,1,0
05-23 11:27:11.443   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< +SPCAPABILITY: 32,1,0
05-23 11:27:11.513   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.513   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.513   183   227 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:27:11.513   182   226 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:27:11.513   183   227 D use-Rlog/RLOG-RIL: [1] put Channel ID '4'
05-23 11:27:11.513   182   226 D use-Rlog/RLOG-RIL: [0] put Channel ID '1'
05-23 11:27:35.046   592   592 D TelephonyManager: /proc/cmdline=loglevel=1 console=ttyS1,115200n8 init=/init root=/dev/ram0 rw androidboot.hardware=sp9820a_c110 lcd_id=ID7789 lcd_adc=1255 lcd_base=8ffca000   mem_cs=1, mem_cs0_sz=10000000  sysdump_magic=85500000 mtdparts=sprd-nand:256k(splloader),1280k(uboot),-(ubipac) modem=poweron ltemode=lcsfb 32k.less=0 crystal=0   androidboot.serialno=02463484782052123279
05-23 11:27:41.142   671   671 D TelephonyManager: No /proc/cmdline exception=java.io.FileNotFoundException: /proc/cmdline: open failed: EACCES (Permission denied)
05-23 11:27:41.142   671   671 D TelephonyManager: /proc/cmdline=
05-23 11:27:44.095   700   700 D TelephonyManager: /proc/cmdline=loglevel=1 console=ttyS1,115200n8 init=/init root=/dev/ram0 rw androidboot.hardware=sp9820a_c110 lcd_id=ID7789 lcd_adc=1255 lcd_base=8ffca000   mem_cs=1, mem_cs0_sz=10000000  sysdump_magic=85500000 mtdparts=sprd-nand:256k(splloader),1280k(uboot),-(ubipac) modem=poweron ltemode=lcsfb 32k.less=0 crystal=0   androidboot.serialno=02463484782052123279
05-23 11:27:44.526   700   700 D TelephonyManager: getLteOnCdmaMode=0 curVal=-1 product_type='' lteOnCdmaProductType=''
05-23 11:27:44.536   700   700 I PhoneFactory: Cdma Subscription set to 1
05-23 11:27:44.676   700   700 I PhoneFactory: CpProduct is CpSupportUtils={cpName = l, cpPhone = 2, cpEnable = true, cpExternalDevice = false}
05-23 11:27:44.676   700   700 I PhoneFactory: socket name is rild
05-23 11:27:44.676   700   700 D RILJ    : [0]RIL(context, preferredNetworkType=0 cdmaSubscription=1)
05-23 11:27:44.686   700   700 D RILJ    : [0]Starting RILReceiver
05-23 11:27:44.696   700   700 I PhoneFactory: socket name is rild2
05-23 11:27:44.696   700   700 D RILJ    : [0]RIL(context, preferredNetworkType=0 cdmaSubscription=1)
05-23 11:27:44.706   182   226 I use-Rlog/RLOG-RILC: [0] libril: new connection
05-23 11:27:44.706   182   226 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RIL_CONNECTED {11}
05-23 11:27:44.706   182   226 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:27:44.706   182   226 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:27:44.706   182   226 I use-Rlog/RLOG-RILC: [0] RIL Daemon version: android reference-ril 1.0
05-23 11:27:44.716   700   751 I RILJ    : Connected to 'rild' socket
05-23 11:27:44.716   700   751 D RILJ    : [0][UNSL]< [0]UNSOL_RIL_CONNECTED {11}
05-23 11:27:44.716   700   700 D RILJ    : [1]Starting RILReceiver
05-23 11:27:44.716   700   751 D RILJ    : [0][3648]> RADIO_POWER off
05-23 11:27:44.726   700   700 D UiccController: [0]Creating UiccController
05-23 11:27:44.726   700   700 D UiccController: [1]Creating UiccController
05-23 11:27:44.726   700   700 I PhoneFactory: Creating GSMPhone
05-23 11:27:44.726   700   751 D RILJ    : [0]setCellInfoListRate: 2147483647
05-23 11:27:44.726   700   751 D RILJ    : [0][3649]> RIL_REQUEST_SET_CELL_INFO_LIST_RATE
05-23 11:27:44.736   183   227 I use-Rlog/RLOG-RILC: [1] libril: new connection
05-23 11:27:44.736   183   227 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RIL_CONNECTED {11}
05-23 11:27:44.736   183   227 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:27:44.736   183   227 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:27:44.736   183   227 I use-Rlog/RLOG-RILC: [1] RIL Daemon version: android reference-ril 1.0
05-23 11:27:44.736   700   755 I RILJ    : Connected to 'rild2' socket
05-23 11:27:44.736   700   751 D RILJ    : [0][UNSL]< [0]UNSOL_RESPONSE_RADIO_STATE_CHANGED RADIO_OFF
05-23 11:27:44.736   700   755 D RILJ    : [1][UNSL]< [1]UNSOL_RIL_CONNECTED {11}
05-23 11:27:44.746   182   226 I use-Rlog/RLOG-RILC: [0] enter processCommandsCallback, socket type = 0
05-23 11:27:44.746   182   226 D use-Rlog/RLOG-RILC: [0] Add 'RADIO_POWER' to call_cmd_list
05-23 11:27:44.746   182   240 I use-Rlog/RLOG-RILC: [0] -->Normal Dispatch call list
05-23 11:27:44.746   182   240 D use-Rlog/RLOG-RILC: [0] PCB request code 23 token 0
05-23 11:27:44.746   182   240 D use-Rlog/RLOG-RILC: [0] [0000]> RADIO_POWER (0,1,1)
05-23 11:27:44.746   182   226 I use-Rlog/RLOG-RILC: [0] PCC  alloc one command p_record
05-23 11:27:44.756   182   240 D use-Rlog/RLOG-RIL: [0] onRequest: RADIO_POWER sState=0
05-23 11:27:44.756   182   240 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
05-23 11:27:44.756   182   240 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
05-23 11:27:44.756   182   240 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CPIN?
05-23 11:27:44.766   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< +CPIN: READY
05-23 11:27:44.766   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RIL: [0] setHasSim hasSim = 1
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RIL: [0] setHasSim hasSim = 1
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+SFUN=5
05-23 11:27:44.766   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RIL: [0] isn't svlte
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RILC: [0] [0000]< RADIO_POWER
05-23 11:27:44.766   182   240 D use-Rlog/RLOG-RIL: [0] put Channel ID '1'
05-23 11:27:44.766   182   240 I use-Rlog/RLOG-RILC: [0] -->Normal Dispatch [240] free one command
05-23 11:27:44.766   700   755 D RILJ    : [1][3650]> RADIO_POWER off
05-23 11:27:44.766   700   755 D RILJ    : [1]setCellInfoListRate: 2147483647
05-23 11:27:44.766   183   227 I use-Rlog/RLOG-RILC: [1] enter processCommandsCallback, socket type = 0
05-23 11:27:44.776   183   227 I use-Rlog/RLOG-RILC: [1] enter processCommandsCallback, socket type = 0
05-23 11:27:44.776   183   227 D use-Rlog/RLOG-RILC: [1] Add 'RADIO_POWER' to call_cmd_list
05-23 11:27:44.776   183   242 I use-Rlog/RLOG-RILC: [1] -->Normal Dispatch call list
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RILC: [1] PCB request code 23 token 2
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RILC: [1] [0002]> RADIO_POWER (0,0,1)
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RIL: [1] onRequest: RADIO_POWER sState=0
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RIL: [1] channel4 state: '0' 
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RIL: [1] get Channel ID '4'
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CPIN?
05-23 11:27:44.776   182   758 D use-Rlog/RLOG-RILC: [0] PCB request code 110 token 1
05-23 11:27:44.776   182   758 D use-Rlog/RLOG-RILC: [0] [0001]> SET_UNSOL_CELL_INFO_LIST_RATE (2147483647)
05-23 11:27:44.776   182   758 D use-Rlog/RLOG-RIL: [0] onRequest: SET_UNSOL_CELL_INFO_LIST_RATE sState=0
05-23 11:27:44.776   182   758 D use-Rlog/RLOG-RILC: [0] [0001]< SET_UNSOL_CELL_INFO_LIST_RATE fails by E_RADIO_NOT_AVAILABLE
05-23 11:27:44.776   182   758 I use-Rlog/RLOG-RILC: [0] -->CommandThread [758] free one command
05-23 11:27:44.776   700   755 D RILJ    : [1][3651]> RIL_REQUEST_SET_CELL_INFO_LIST_RATE
05-23 11:27:44.776   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< +CME ERROR: 10
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RIL: [1] setHasSim hasSim = 0
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-RIL: [1] setHasSim hasSim = 0
05-23 11:27:44.776   183   227 I use-Rlog/RLOG-RILC: [1] enter processCommandsCallback, socket type = 0
05-23 11:27:44.776   183   227 I use-Rlog/RLOG-RILC: [1] enter processCommandsCallback, socket type = 0
05-23 11:27:44.776   183   227 I use-Rlog/RLOG-RILC: [1] PCC  alloc one command p_record
05-23 11:27:44.776   183   242 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+SFUN=5
05-23 11:27:44.776   183   759 D use-Rlog/RLOG-RILC: [1] PCB request code 110 token 3
05-23 11:27:44.776   183   759 D use-Rlog/RLOG-RILC: [1] [0003]> SET_UNSOL_CELL_INFO_LIST_RATE (2147483647)
05-23 11:27:44.776   183   759 D use-Rlog/RLOG-RIL: [1] onRequest: SET_UNSOL_CELL_INFO_LIST_RATE sState=0
